step,KE,PE,T_insta,P_insta
568,268.6488,-290.9226,84.4459,3.4203
569,268.7412,-291.0912,84.4749,3.4168
570,268.9849,-291.408,84.5515,3.4111
571,269.3725,-291.8631,84.6733,3.4035
572,269.8919,-292.4428,84.8366,3.3941
573,270.5278,-293.1302,85.0365,3.3832
574,271.2619,-293.9063,85.2673,3.3708
575,272.0752,-294.7518,85.5229,3.3574
576,272.9482,-295.6478,85.7973,3.3431
577,273.8629,-296.5774,86.0848,3.3282
578,274.8034,-297.5258,86.3805,3.3129
579,275.7566,-298.4818,86.6801,3.2972
580,276.7129,-299.4372,86.9807,3.2814
581,277.6659,-300.3875,87.2803,3.2654
582,278.6125,-301.3309,87.5778,3.2493
583,279.5524,-302.2683,87.8732,3.2333
584,280.4872,-303.202,88.1671,3.2172
585,281.42,-304.1353,88.4603,3.201
586,282.3538,-305.0708,88.7538,3.1847
587,283.2909,-306.0103,89.0484,3.1682
588,284.2321,-306.9536,89.3443,3.1518
589,285.1765,-307.8988,89.6411,3.1353
590,286.1208,-308.8414,89.9379,3.119
591,287.0596,-309.7749,90.233,3.1029
592,287.9854,-310.6912,90.5241,3.087
593,288.8892,-311.5807,90.8082,3.0715
594,289.7616,-312.4339,91.0824,3.0567
595,290.5928,-313.2411,91.3437,3.0425
596,291.3734,-313.9932,91.589,3.0292
597,292.0946,-314.6822,91.8157,3.0168
598,292.7493,-315.3016,92.0215,3.0055
599,293.3315,-315.8459,92.2045,2.9952
600,293.8366,-316.3115,92.3633,2.986
601,294.2616,-316.6958,92.4969,2.9781
602,294.6044,-316.9972,92.6047,2.9714
603,294.8639,-317.2149,92.6862,2.966
604,295.0394,-317.3488,92.7414,2.9617
605,295.1314,-317.3994,92.7703,2.9587
606,295.1407,-317.368,92.7732,2.9568
607,295.0687,-317.2561,92.7506,2.9562
608,294.9173,-317.0661,92.703,2.9566
609,294.6891,-316.8006,92.6313,2.9582
610,294.387,-316.4631,92.5363,2.9608
611,294.015,-316.058,92.4194,2.9645
612,293.5777,-315.59,92.2819,2.969
